date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,last_renovation
07-2014,625000.0,4,2.5,2570,5520,2.0,0,0,3,1,2570,0,15,15
07-2014,861990.0,5,2.75,3595,5639,2.0,0,0,3,1,3595,0,1,1
10-2014,685000.0,3,1.0,1570,2280,2.0,0,0,3,1,1570,0,93,93
07-2014,309000.0,3,1.0,1280,9656,1.0,0,0,4,1,920,360,56,56
07-2014,488000.0,3,2.5,3160,13603,2.0,0,0,3,1,3160,0,12,12
03-2015,210490.0,3,1.0,990,8528,1.0,0,0,3,1,990,0,49,49
07-2014,785000.0,4,2.5,2290,13416,2.0,0,0,4,1,2290,0,34,34
04-2015,450000.0,3,1.75,1250,5963,1.0,0,0,4,1,1250,0,62,62
09-2014,228000.0,3,1.0,1190,9199,1.0,0,0,3,1,1190,0,60,60
12-2014,600000.0,3,1.75,1410,4080,1.0,0,0,4,1,1000,410,65,65
02-2015,585000.0,2,1.75,1980,8550,1.0,0,0,3,1,990,990,34,34
03-2015,920000.0,5,2.25,2730,6000,1.5,0,0,3,1,2130,600,88,88
05-2014,885000.0,4,2.5,2830,5000,2.0,0,0,3,1,2830,0,20,20
08-2014,292500.0,4,2.5,2250,4495,2.0,0,0,3,1,2250,0,7,7
04-2015,301000.0,3,2.5,2420,4750,2.0,0,0,3,1,2420,0,12,12
02-2015,430000.0,4,3.0,1850,9976,2.0,0,0,3,1,1850,0,24,24
08-2014,289000.0,3,1.75,1260,8400,1.0,0,0,3,1,1260,0,61,61
10-2014,505000.0,3,1.75,2519,8690,2.0,0,0,5,1,2519,0,42,42
12-2014,549000.0,3,1.75,1540,1044,3.0,0,0,3,1,1540,0,1,1
06-2014,425000.0,3,2.25,1660,6000,1.0,0,0,3,1,1110,550,36,36
11-2014,317625.0,3,2.75,2770,3809,1.5,0,0,5,1,1770,1000,90,90
10-2014,287000.0,4,2.5,2240,4648,2.0,0,0,3,1,2240,0,10,10
08-2014,204000.0,3,1.0,1000,12070,1.0,0,0,4,1,1000,0,47,47
01-2015,325000.0,3,2.0,1260,5612,1.0,0,0,4,1,1260,0,43,43
06-2014,571000.0,4,2.0,2750,7807,1.5,0,0,5,1,2250,500,99,99
07-2014,360000.0,4,2.5,2380,5000,2.0,0,0,3,1,2380,0,10,10
10-2014,380000.0,4,1.75,1760,7300,1.0,0,0,3,1,880,880,59,59
04-2015,480000.0,3,1.0,1040,5060,1.0,0,0,3,1,1040,0,74,74
06-2014,410000.0,3,1.0,1410,5060,1.0,0,0,4,1,910,500,59,59
12-2014,390000.0,3,2.5,2350,5100,2.0,0,0,3,1,2350,0,12,12
12-2014,360000.0,4,2.5,1900,5889,2.0,0,0,3,1,1900,0,23,23
10-2014,355000.0,2,1.0,2020,6720,1.0,0,0,3,1,1010,1010,67,67
01-2015,356000.0,3,1.5,1680,8712,1.0,0,0,3,1,1680,0,51,51
06-2014,315000.0,3,1.0,960,6634,1.0,0,0,3,1,960,0,63,63
11-2014,940000.0,3,1.5,2140,3600,2.0,0,0,3,1,1900,240,90,90
11-2014,305000.0,5,2.25,2660,8400,1.5,0,0,5,1,2660,0,54,54
06-2014,461000.0,3,3.25,2770,6278,2.0,0,0,3,1,1980,790,9,9
05-2014,215000.0,2,2.25,1610,2040,2.0,0,0,4,1,1610,0,36,36
09-2014,335000.0,2,1.75,1030,1066,2.0,0,0,3,1,765,265,9,9
05-2014,243500.0,4,2.5,1980,7403,2.0,0,0,3,1,1980,0,27,27
02-2015,153000.0,3,1.0,1200,10500,1.0,0,0,3,1,1200,0,53,53
07-2014,430000.0,3,1.5,1580,5000,1.0,0,0,3,1,1290,290,76,76
12-2014,700000.0,3,1.5,1580,5000,1.0,0,0,3,1,1290,290,76,76
09-2014,905000.0,4,2.5,3300,10250,1.0,0,0,3,1,2390,910,69,24
03-2015,247500.0,3,1.75,1960,15681,1.0,0,0,3,1,1960,0,48,48
09-2014,199000.0,4,1.5,1160,6400,1.0,0,0,4,1,1160,0,40,40
06-2014,850830.0,3,2.5,2070,13241,1.5,0,0,5,1,1270,800,105,105
10-2014,555000.0,3,2.0,1980,3478,1.5,0,0,4,1,1440,540,86,86
10-2014,1088000.0,3,2.5,2920,8113,2.0,0,0,3,1,2920,0,65,5
04-2015,375000.0,3,2.5,2340,10005,1.0,0,0,4,1,1460,880,37,37
05-2014,460000.0,3,1.0,1670,4005,1.5,0,0,4,1,1170,500,76,76
07-2014,188500.0,2,1.75,1240,2493,1.0,0,0,4,1,1240,0,30,30
08-2014,470000.0,5,1.75,2030,12342,2.0,0,0,4,1,2030,0,73,73
07-2014,597750.0,4,2.5,2310,9624,2.0,0,0,3,1,2310,0,31,31
03-2015,570000.0,3,1.75,1260,3328,1.0,0,0,5,1,700,560,110,110
09-2014,272500.0,3,1.75,1540,12600,1.0,0,0,4,1,1160,380,35,35
06-2014,518500.0,3,3.5,1590,1102,3.0,0,0,3,1,1590,0,5,5
06-2014,205425.0,2,1.0,880,6780,1.0,0,0,4,1,880,0,70,70
01-2015,171800.0,4,2.0,1570,9600,1.0,0,0,3,1,1570,0,65,65
05-2015,535000.0,4,1.0,1610,2982,1.5,0,0,4,1,1610,0,90,90
11-2014,391500.0,3,2.0,1450,9132,1.0,0,0,3,1,1450,0,28,28
04-2015,395000.0,2,1.0,770,6000,1.0,0,0,3,1,770,0,62,62
11-2014,445000.0,4,1.75,2100,4400,1.5,0,0,5,1,1720,380,91,91
06-2014,770000.0,3,2.25,2910,10204,2.0,0,0,3,1,2910,0,25,25
07-2014,260000.0,4,2.25,2160,8811,1.0,0,0,3,1,1360,800,37,37
06-2014,822500.0,5,3.5,2320,4960,2.0,0,0,5,1,1720,600,89,89
04-2015,430000.0,4,2.5,2070,4310,2.0,0,0,3,1,2070,0,11,11
01-2015,212000.0,3,1.75,1060,7875,1.0,0,0,4,1,1060,0,29,29
04-2015,660500.0,4,2.25,2010,9603,1.0,0,0,3,1,1440,570,29,29
05-2014,453246.0,3,2.5,2010,2287,2.0,0,0,3,1,1390,620,1,1
01-2015,675000.0,4,3.5,2140,2278,3.0,0,0,3,1,2140,0,10,10
08-2014,220000.0,4,1.75,2020,7840,1.0,0,0,3,1,1010,1010,47,47
05-2014,452000.0,4,2.25,2590,10002,1.0,0,0,4,1,1340,1250,47,47
07-2014,382500.0,2,1.0,1190,4440,1.0,0,0,3,1,1190,0,34,34
05-2014,519950.0,3,2.25,1170,1249,3.0,0,0,3,1,1170,0,1,1
06-2014,665000.0,2,1.0,1110,3200,1.0,0,0,3,1,1110,0,90,90
07-2014,527700.0,5,2.5,2820,9375,1.0,0,0,4,1,1550,1270,47,47
05-2015,205000.0,3,1.0,1610,8579,1.0,0,0,4,1,1010,600,53,53
04-2015,420000.0,3,1.0,1060,8097,1.0,0,0,4,1,940,120,92,92
02-2015,500000.0,4,2.25,2030,8517,1.0,0,0,4,1,1380,650,54,54
06-2014,890000.0,4,1.0,2550,4000,2.0,0,0,3,1,2370,180,110,110
11-2014,511000.0,3,1.0,1430,3455,1.0,0,0,3,1,980,450,68,68
08-2014,532170.0,3,2.0,1360,3090,2.0,0,0,3,1,1360,0,25,25
04-2015,560000.0,3,1.0,1110,5000,1.5,0,0,3,1,1110,0,68,68
03-2015,282950.0,3,1.0,1250,8200,1.0,0,0,4,1,1250,0,61,61
07-2014,215000.0,3,1.0,1180,7669,1.0,0,0,4,1,1180,0,48,48
08-2014,320000.0,4,2.75,2640,7500,1.0,0,0,3,1,1620,1020,48,48
11-2014,247000.0,3,2.0,1270,7198,1.5,0,0,3,1,1270,0,99,2
10-2014,320000.0,4,1.75,1760,11180,1.0,0,0,4,1,1760,0,47,47
05-2014,255000.0,5,2.25,2060,8632,1.0,0,0,3,1,1030,1030,53,53
03-2015,438000.0,3,1.75,1780,9660,1.0,0,0,3,1,1780,0,53,53
06-2014,441000.0,3,2.75,1910,7280,1.0,0,0,3,1,1160,750,36,36
12-2014,370000.0,3,1.75,1580,7000,1.0,0,0,3,1,1180,400,39,39
02-2015,269950.0,2,1.75,1340,7250,1.0,0,0,5,1,700,640,66,66
03-2015,807100.0,4,2.5,2680,4499,2.0,0,0,3,1,2680,0,16,16
06-2014,653000.0,3,2.5,2680,9750,1.0,0,0,4,1,1610,1070,36,36
06-2014,371500.0,3,2.0,1370,8336,1.0,0,0,5,1,1370,0,51,51
01-2015,272000.0,3,1.75,2160,7140,1.0,0,0,4,1,1670,490,37,37
05-2014,313000.0,3,1.5,1340,7912,1.5,0,0,3,1,1340,0,60,60
09-2014,673000.0,4,2.25,2590,8190,2.0,0,0,4,1,2590,0,35,35
02-2015,425000.0,3,2.5,1120,1100,2.0,0,0,3,1,820,300,7,7
07-2014,399950.0,5,2.75,1970,5400,1.0,0,0,3,1,1320,650,29,29
05-2014,385000.0,3,1.0,1220,4800,1.0,0,0,3,1,1220,0,114,114
01-2015,330000.0,2,1.0,1350,8220,1.0,0,0,3,1,1060,290,66,66
07-2014,260000.0,3,2.5,1670,5797,2.0,0,0,3,1,1670,0,27,27
04-2015,470000.0,4,3.0,2380,5125,1.5,0,0,4,1,1680,700,90,90
06-2014,589000.0,4,3.0,2440,9600,2.0,0,0,5,1,2440,0,54,54
07-2014,163500.0,2,1.5,1050,3419,2.0,0,0,3,1,1050,0,19,19
09-2014,835000.0,4,2.75,3130,13412,2.0,0,0,3,1,2140,990,22,22
04-2015,269000.0,4,1.75,1490,10000,1.0,0,0,4,1,1100,390,46,46
05-2014,560000.0,3,2.5,1900,8744,2.0,0,0,3,1,1900,0,28,28
04-2015,615000.0,4,1.0,1330,2400,1.5,0,0,4,1,1330,0,114,114
12-2014,585188.0,3,2.25,2230,10026,1.0,0,0,3,1,1430,800,40,40
08-2014,305000.0,3,1.75,1650,9480,1.0,0,0,3,1,1220,430,38,38
11-2014,166950.0,3,1.0,1190,8820,1.0,0,0,3,1,1190,0,56,56
09-2014,799000.0,3,2.5,2140,9897,1.0,0,0,4,1,2140,0,56,56
06-2014,400000.0,3,2.5,2180,7508,1.0,0,0,4,1,1420,760,53,53
12-2014,230000.0,3,1.0,1060,10228,1.0,0,0,3,1,1060,0,67,67
05-2014,256883.0,3,2.5,1690,5025,2.0,0,0,3,1,1690,0,12,12
11-2014,423000.0,4,2.0,1970,6480,1.5,0,0,5,1,1130,840,95,95
07-2014,465000.0,3,2.5,2150,4084,2.0,0,0,3,1,2150,0,8,8
03-2015,210000.0,3,1.0,860,11725,1.0,0,0,4,1,860,0,72,72
11-2014,297000.0,3,2.5,1940,14952,2.0,0,0,3,1,1940,0,21,21
07-2014,470000.0,3,1.0,1010,5000,1.0,0,0,3,1,1010,0,63,63
08-2014,226500.0,3,1.5,1300,7370,1.0,0,0,4,1,900,400,39,39
03-2015,274250.0,3,1.0,910,8450,1.0,0,0,4,1,910,0,53,53
08-2014,840000.0,4,1.75,2480,11010,1.0,0,0,4,1,1630,850,49,49
09-2014,677900.0,3,2.5,2440,4587,2.0,0,0,3,1,2440,0,5,5
02-2015,425000.0,3,1.0,1010,5864,1.0,0,0,3,1,1010,0,100,100
11-2014,180250.0,2,0.75,900,9600,1.0,0,0,3,1,900,0,74,74
04-2015,320000.0,4,2.25,1550,7579,2.0,0,0,3,1,1550,0,22,22
07-2014,625504.0,3,2.25,1270,1566,2.0,0,0,3,1,1060,210,1,1
05-2014,592500.0,4,2.5,2240,12032,1.0,0,0,3,1,2240,0,32,32
05-2014,477000.0,4,2.75,1720,6270,2.0,0,0,3,1,1720,0,37,37
01-2015,280000.0,2,1.0,850,16400,1.0,0,0,3,1,850,0,92,92
07-2014,445838.0,3,2.5,2250,5692,2.0,0,0,3,1,2250,0,15,15
10-2014,467000.0,2,1.5,1320,10800,1.0,0,0,4,1,1320,0,68,68
06-2014,279950.0,3,2.0,1750,9750,1.0,0,0,3,1,1350,400,54,54
09-2014,325000.0,3,2.25,2220,16020,1.0,0,0,4,1,1780,440,49,49
09-2014,328000.0,3,2.25,2020,8379,2.0,0,0,3,1,2020,0,21,21
06-2014,390000.0,3,2.25,1250,7500,1.0,0,0,5,1,1250,0,73,73
03-2015,479950.0,2,2.0,1510,6516,1.0,0,0,3,1,1510,0,10,10
05-2014,264950.0,4,2.25,1720,9753,1.0,0,0,4,1,1120,600,37,37
01-2015,235000.0,3,1.0,1430,15246,1.0,0,0,4,1,980,450,54,54
03-2015,516500.0,3,2.5,1480,4729,2.0,0,0,3,1,1480,0,11,11
06-2014,500000.0,4,2.75,2280,15347,1.0,0,0,5,1,2280,0,55,55
11-2014,213000.0,2,1.0,1000,10200,1.0,0,0,3,1,1000,0,54,54
09-2014,475000.0,3,1.5,2480,5280,1.5,0,0,5,1,1620,860,68,68
03-2015,410000.0,4,1.0,1970,4740,1.5,0,0,3,1,1670,300,111,10
12-2014,225000.0,3,1.75,1430,8505,1.0,0,0,4,1,1430,0,47,47
10-2014,210000.0,2,1.0,830,6000,1.0,0,0,3,1,830,0,75,75
01-2015,455000.0,2,1.0,1430,5000,1.5,0,0,2,1,1430,0,90,90
04-2015,225000.0,3,1.0,1300,8316,1.0,0,0,4,1,1300,0,61,61
02-2015,363000.0,3,2.5,2740,11872,2.0,0,0,3,1,2740,0,25,25
02-2015,181000.0,2,1.5,720,5120,1.0,0,0,3,1,720,0,61,61
03-2015,250000.0,4,2.0,2010,7312,1.0,0,0,4,1,2010,0,39,39
04-2015,481000.0,3,1.75,1560,3000,1.0,0,0,4,1,770,790,97,97
09-2014,260000.0,3,2.0,1810,7209,1.0,0,0,4,1,1240,570,37,37
05-2014,455000.0,4,2.5,3360,7685,2.0,0,0,3,1,3360,0,14,14
04-2015,349500.0,3,1.0,1400,3538,1.0,0,0,3,1,800,600,62,62
09-2014,245000.0,3,2.5,1730,7442,2.0,0,0,3,1,1730,0,28,28
10-2014,385000.0,4,1.75,2360,7620,1.0,0,0,4,1,1180,1180,60,60
02-2015,315000.0,3,1.75,1580,11455,1.0,0,0,4,1,1200,380,41,41
11-2014,255000.0,3,1.0,1230,10170,1.0,0,0,3,1,1230,0,36,36
08-2014,693000.0,4,2.5,2460,4425,2.0,0,0,3,1,2460,0,9,9
12-2014,780000.0,3,1.0,1660,4400,1.5,0,0,3,1,1460,200,104,104
10-2014,237000.0,3,1.75,1270,8470,1.0,0,0,4,1,1270,0,55,55
04-2015,425000.0,2,1.0,770,5040,1.0,0,0,3,1,770,0,85,85
05-2014,290000.0,4,2.5,1700,7280,2.0,0,0,4,1,1700,0,27,27
09-2014,285000.0,3,1.0,1120,10701,1.0,0,0,3,1,1120,0,61,61
08-2014,415000.0,2,1.0,1070,4500,1.0,0,0,3,1,1070,0,78,78
04-2015,272500.0,3,2.5,2070,9900,1.0,0,0,3,1,1420,650,36,36
05-2015,436000.0,2,1.0,1040,7538,1.0,0,0,4,1,1040,0,76,76
10-2014,210000.0,3,1.0,1700,11390,1.0,0,0,4,1,1700,0,48,48
09-2014,236000.0,3,1.0,1300,5898,1.0,0,0,3,1,1300,0,54,54
11-2014,331000.0,3,1.75,1080,1306,1.0,0,0,3,1,580,500,61,12
03-2015,365000.0,3,2.5,2653,4510,2.0,0,0,3,1,2653,0,9,9
01-2015,450000.0,3,2.0,2290,16258,1.0,0,0,5,1,2290,0,55,55
05-2015,405000.0,3,1.75,2390,6000,1.0,0,0,3,1,1240,1150,107,107
07-2014,304900.0,4,1.75,2600,11325,1.0,0,0,4,1,1610,990,46,46
02-2015,170000.0,2,1.0,860,5265,1.0,0,0,3,1,860,0,84,84
04-2015,330000.0,3,3.0,2420,13959,1.0,0,0,4,1,1740,680,27,27
09-2014,370000.0,4,2.5,2720,8666,2.0,0,0,3,1,2720,0,23,23
10-2014,467000.0,5,2.25,2500,13500,1.0,0,0,3,1,1850,650,36,36
02-2015,405000.0,3,1.75,1670,6720,1.0,0,0,3,1,1140,530,35,35
08-2014,500000.0,2,1.0,1640,14100,1.0,0,0,4,1,1140,500,61,61
07-2014,389999.0,4,2.5,1890,15770,2.0,0,0,4,1,1890,0,47,47
10-2014,360000.0,4,2.5,2160,9528,2.0,0,0,3,1,2160,0,23,23
10-2014,580000.0,4,3.0,3280,11060,2.0,0,0,3,1,2270,1010,29,29
08-2014,265000.0,3,2.0,1320,8959,1.0,0,0,3,1,1320,0,22,22
03-2015,446500.0,3,2.5,2650,7286,2.0,0,0,3,1,2650,0,25,25
06-2014,404000.0,3,1.5,2030,8880,1.0,0,0,3,1,1330,700,52,52
08-2014,335000.0,3,2.5,2440,7632,2.0,0,0,3,1,2440,0,17,17
06-2014,576000.0,3,2.5,1940,9000,1.0,0,0,4,1,970,970,67,67
04-2015,208633.0,3,2.5,2040,3810,2.0,0,0,3,1,2040,0,9,9
01-2015,315000.0,3,2.25,2200,8750,1.0,0,0,4,1,1120,1080,51,51
02-2015,725000.0,3,1.75,1920,3300,1.0,0,0,4,1,960,960,102,102
04-2015,550000.0,4,2.75,1800,7750,1.0,0,0,4,1,1400,400,50,50
06-2014,610750.0,4,2.25,2180,7297,2.0,0,0,3,1,2180,0,31,31
02-2015,550700.0,2,1.0,1010,5000,1.5,0,0,4,1,1010,0,107,107
01-2015,665000.0,4,2.75,3320,10574,2.0,0,0,5,1,2220,1100,55,55
11-2014,305000.0,4,2.25,1950,7700,1.0,0,0,3,1,1350,600,36,36
04-2015,487000.0,3,2.0,2590,14052,1.0,0,0,5,1,1720,870,67,67
07-2014,548000.0,2,1.0,1470,3864,1.0,0,0,4,1,1170,300,99,99
11-2014,268750.0,4,1.0,800,8775,1.0,0,0,3,1,800,0,72,72
05-2014,819900.0,5,2.75,3150,7119,2.0,0,0,3,1,3150,0,2,2
07-2014,230000.0,3,2.0,1450,11204,1.0,0,0,3,1,1450,0,12,12
02-2015,240000.0,3,1.75,1510,10248,1.0,0,0,3,1,1510,0,46,46
09-2014,232000.0,2,1.0,1240,12092,1.0,0,0,3,1,960,280,93,31
03-2015,240500.0,2,1.0,1240,12092,1.0,0,0,3,1,960,280,93,31
09-2014,740000.0,4,2.0,2050,4400,1.5,0,0,4,1,2050,0,93,93
04-2015,186375.0,3,1.0,1000,7636,1.0,0,0,2,1,1000,0,63,63
07-2014,790000.0,3,2.25,2370,10289,1.0,0,0,4,1,1590,780,38,38
09-2014,880000.0,4,3.5,2800,6750,2.0,0,0,3,1,1890,910,64,13
04-2015,640000.0,2,1.0,1070,5000,1.0,0,0,3,1,1070,0,91,91
07-2014,940000.0,4,2.0,2490,9525,2.0,0,0,5,1,2490,0,47,47
10-2014,260000.0,4,2.5,1960,5238,2.0,0,0,3,1,1960,0,12,12
06-2014,559900.0,3,2.75,2930,5569,1.0,0,0,3,1,1860,1070,11,11
07-2014,791500.0,4,2.0,1510,3500,1.5,0,0,5,1,1510,0,104,104
08-2014,265000.0,3,1.75,1420,8250,1.0,0,0,3,1,1420,0,61,61
11-2014,684000.0,4,3.5,3040,8414,2.0,0,0,3,1,2420,620,5,5
09-2014,425000.0,3,1.75,2500,6840,1.0,0,0,3,1,1300,1200,58,58
07-2014,552250.0,4,2.5,2580,5823,2.0,0,0,3,1,2580,0,13,13
07-2014,165000.0,4,1.0,1000,7134,1.0,0,0,3,1,1000,0,72,72
12-2014,239900.0,4,1.0,1000,7134,1.0,0,0,3,1,1000,0,72,72
10-2014,206600.0,3,2.0,1390,13464,1.0,0,0,4,1,1390,0,28,28
04-2015,387000.0,4,1.75,2500,7690,1.0,0,0,3,1,1250,1250,42,42
09-2014,855000.0,4,2.75,2270,10460,2.0,0,0,3,1,2270,0,50,50
01-2015,315000.0,3,1.0,1900,14400,1.0,0,0,4,1,1300,600,61,61
06-2014,375000.0,4,1.75,2200,7475,1.0,0,0,5,1,1100,1100,60,60
08-2014,300000.0,4,2.5,1910,4862,2.0,0,0,3,1,1910,0,10,10
10-2014,420000.0,4,1.0,1750,9600,1.5,0,0,4,1,1750,0,61,61
08-2014,380000.0,5,2.5,2760,11340,2.0,0,0,4,1,2760,0,37,37
12-2014,329500.0,4,2.5,1820,7912,2.0,0,0,3,1,1820,0,21,21
08-2014,604950.0,3,2.5,2110,5608,1.0,0,0,3,1,1340,770,2,2
03-2015,673000.0,4,2.5,2990,10400,2.0,0,0,3,1,2990,0,13,13
11-2014,338000.0,4,3.0,2090,7500,1.0,0,0,3,1,1370,720,29,29
12-2014,280000.0,3,2.25,1430,7222,2.0,0,0,3,1,1430,0,22,22
10-2014,315000.0,4,2.25,2180,10754,1.0,0,0,5,1,1100,1080,61,61
03-2015,530000.0,4,2.25,2180,10754,1.0,0,0,5,1,1100,1080,61,61
12-2014,380000.0,5,3.0,3450,9914,2.0,0,0,3,1,3450,0,11,11
08-2014,297000.0,3,2.25,1450,7562,2.0,0,0,3,1,1450,0,21,21
06-2014,450000.0,3,1.75,1640,13500,1.0,0,0,3,1,1110,530,75,75
10-2014,275000.0,3,3.0,1590,7750,1.0,0,0,3,1,1060,530,18,18
04-2015,595000.0,4,2.0,2020,2849,2.0,0,0,3,1,2020,0,55,55
04-2015,435000.0,3,1.5,1300,3348,1.5,0,0,3,1,1300,0,111,1
03-2015,389000.0,4,2.25,2130,5337,2.0,0,0,3,1,2130,0,14,14
01-2015,560000.0,4,2.25,2550,7800,1.0,0,0,3,1,1580,970,47,47
11-2014,799000.0,4,2.25,2510,11585,2.0,0,0,4,1,2510,0,46,46
06-2014,365500.0,3,2.0,1410,9600,1.0,0,0,4,1,1410,0,32,32
05-2014,252350.0,3,2.0,1650,7352,1.0,0,0,3,1,1160,490,36,36
09-2014,403950.0,4,2.5,2120,13780,2.0,0,0,3,1,2120,0,22,22
08-2014,385000.0,4,1.5,2040,10726,1.0,0,0,3,1,1380,660,61,61
12-2014,345000.0,4,1.0,1550,7620,1.5,0,0,3,1,1550,0,58,58
09-2014,490000.0,3,2.75,1980,3128,2.0,0,0,4,1,1980,0,36,36
05-2014,927000.0,4,2.75,3300,12090,2.0,0,0,3,1,3300,0,62,62
04-2015,330000.0,2,1.0,1220,10000,1.0,0,0,5,1,1220,0,65,65
03-2015,530000.0,5,2.25,2720,8800,1.0,0,0,4,1,1500,1220,57,57
06-2014,378750.0,3,2.5,2160,3000,1.5,0,0,3,1,1260,900,106,4
06-2014,269900.0,4,1.75,1530,8750,1.5,0,0,4,1,1530,0,47,47
03-2015,557000.0,3,3.5,1710,2096,2.0,0,0,3,1,1290,420,7,7
04-2015,352000.0,2,1.0,940,5000,1.0,0,0,4,1,940,0,78,78
06-2014,322500.0,4,2.5,1820,6753,2.0,0,0,3,1,1820,0,21,21
09-2014,650000.0,3,3.25,1510,2000,2.0,0,0,3,1,1330,180,14,14
08-2014,450000.0,3,2.0,1290,1213,3.0,0,0,3,1,1290,0,14,14
04-2015,278500.0,3,2.0,1570,5250,1.0,0,0,3,1,1570,0,17,17
04-2015,364950.0,4,2.5,1930,6957,2.0,0,0,3,1,1930,0,20,20
03-2015,268000.0,3,2.5,1550,8134,2.0,0,0,3,1,1550,0,24,24
07-2014,577500.0,3,2.5,2000,7251,2.0,0,0,3,1,2000,0,20,20
01-2015,423000.0,4,2.25,2200,9351,1.0,0,0,5,1,1290,910,53,53
12-2014,355000.0,3,2.25,1860,5028,2.0,0,0,3,1,1860,0,3,3
12-2014,482000.0,2,1.0,950,3960,1.0,0,0,3,1,950,0,74,74
07-2014,625000.0,3,1.75,1600,9135,1.0,0,0,5,1,1600,0,60,60
12-2014,538000.0,3,2.5,2250,11632,2.0,0,0,3,1,2250,0,27,27
01-2015,380000.0,3,2.5,2280,10255,2.0,0,0,4,1,2280,0,30,30
07-2014,375000.0,2,1.0,940,5120,1.0,0,0,3,1,940,0,106,106
04-2015,245000.0,3,2.5,1530,8500,1.0,0,0,5,1,1030,500,19,19
05-2014,397000.0,4,2.0,1440,7680,1.0,0,0,3,1,1200,240,44,44
05-2015,365000.0,3,2.5,2200,4052,2.0,0,0,3,1,2200,0,10,10
10-2014,328500.0,4,3.0,2290,8250,2.0,0,0,3,1,2290,0,25,25
07-2014,1000000.0,4,2.5,2610,3277,1.5,0,0,5,1,1920,690,93,93
09-2014,237000.0,3,2.5,1490,2138,2.0,0,0,3,1,1490,0,10,10
09-2014,525000.0,4,2.5,2450,5280,2.0,0,0,3,1,2450,0,12,12
09-2014,749000.0,4,2.5,1710,9627,1.0,0,0,3,1,1440,270,39,1
07-2014,438000.0,2,2.0,1270,1372,3.0,0,0,3,1,1270,0,15,15
09-2014,227950.0,3,1.5,1670,8230,1.0,0,0,5,1,1670,0,61,61
07-2014,196000.0,3,2.25,2070,11576,2.0,0,0,3,1,2070,0,41,41
07-2014,641000.0,2,1.0,1420,5332,1.0,0,0,3,1,1070,350,62,62
08-2014,205000.0,3,1.0,940,7980,1.0,0,0,4,1,940,0,55,55
